Cena,Kaucja,Powierzchnia,Liczba pokoi,Rodzaj zabudowy,Piętro,Okna,Ogrzewanie,Stan wykończenia,φ,λ,Czynsz - dodatkowo,Liczba pięter,Materiał budynku,Rok budowy
3000,3000,45,2,apartamentowiec,4,drewniane,miejskie,do zamieszkania,52.1855391,21.004877299999976,200,7,cegła,2016
8500,,57,2,apartamentowiec,10,aluminiowe,miejskie,,52.2317447,20.9961082,,44,inne,2014
9000,,57,2,,> 10,,miejskie,,52.2317447,20.9961082,,44,inne,2014
3350,,52,3,apartamentowiec,6,,miejskie,do zamieszkania,52.1757805,20.99952264,,8,,2019
15000,,141,4,apartamentowiec,5,,,,52.241505,21.02631,,7,,2012
4600,,65.9,3,apartamentowiec,9,,,,52.237065,21.00235,,9,,2007
8500,,108,3,apartamentowiec,7,,,,52.187976,20.99394,,7,,2012
4000,4000,58,2,apartamentowiec,2,,,,52.190658,21.01794,,8,,2012
8500,,72.28,2,kamienica,4,,,,,,,6,,1890
6500,,60,2,kamienica,2,,,,52.235302,21.02055,,5,,1900
8000,8000,135,4,apartamentowiec,2,,,,52.185735,21.0297,,3,,2005
13500,13500,127,4,apartamentowiec,7,,,,52.236866,21.02604,,7,,2015
10000,,102.9,3,apartamentowiec,9,,,,52.237469,21.00171,,11,,2009
7000,,85,3,apartamentowiec,4,,,,52.232464,21.03905,,6,,2018
4600,,57.01,2,apartamentowiec,6,drewniane,,,52.231283,21.03261,,8,,2015
7900,,90,2,apartamentowiec,2,,,,52.241505,21.02631,,6,,2012
11000,,104.19,4,apartamentowiec,5,,,,52.234441,20.99159,,12,,2019
7800,,141.4,5,apartamentowiec,6,,,,52.193816,21.00695,,7,,
5000,5000,100,3,apartamentowiec,parter,,,,52.158036,21.08076,,3,,2013
6500,,78.17,2,apartamentowiec,5,,,,,,,6,,2012
20000,,202,7,apartamentowiec,6,,,,,,,6,,2012
9000,,54,2,apartamentowiec,> 10,aluminiowe,,,,,,44,,2013
5500,,85,3,kamienica,1,plastikowe,,,52.228895,21.05555,,2,,1949
26000,,212,5,apartamentowiec,4,drewniane,,,,,,5,,
8000,,140,4,kamienica,parter,aluminiowe,,,52.208557,21.03156,,,,1960
4800,4800,66.49,2,apartamentowiec,parter,drewniane,,,52.190894,21.01721,,3,,2015
7000,,100,3,apartamentowiec,5,,,,52.234407,21.01558,,6,,
24000,,230,4,apartamentowiec,3,,,,52.209398,21.03133,,5,,2008
8000,,78.41,4,apartamentowiec,2,,,,52.241505,21.02631,,6,,2012
4500,,63.5,2,apartamentowiec,parter,drewniane,,,52.231559,21.03143,,4,,2006
15000,,182.08,4,apartamentowiec,6,,,,52.203048,21.03345,,8,,2009
9900,,107.03,3,apartamentowiec,> 10,,,,52.25423,20.99548,,17,,2010
3700,5000,68,3,apartamentowiec,parter,plastikowe,miejskie,do zamieszkania,52.2207025,20.9116552,,2,cegła,2014
15000,,145,4,apartamentowiec,2,,,,52.199663,21.0416,,6,,2001
