Cena,Powierzchnia,Liczba pokoi,Rynek,Rodzaj zabudowy,Piętro,Liczba pięter,Materiał budynku,Okna,Rok budowy,Stan wykończenia,Czynsz,Forma własności,φ,λ,Ogrzewanie,Czas dojazdu do centrum
435000.0,47.3,2,wtórny,blok,parter,4.0,,,2001.0,do zamieszkania,599 zł,pełna własność,,,,
709302.0,62.74,3,pierwotny,apartamentowiec,parter,9.0,,,2021.0,do wykończenia,800 zł,pełna własność,52.25699648,20.98916173,miejskie,23.0
345000.0,43.9,2,wtórny,blok,5,8.0,,plastikowe,2004.0,do zamieszkania,400 zł,pełna własność,,,,
415000.0,31.0,1,wtórny,apartamentowiec,3,8.0,cegła,plastikowe,2002.0,,250 zł,pełna własność,52.14477362494,21.053600558228,miejskie,40.0
344000.0,54.0,3,pierwotny,apartamentowiec,parter,2.0,silikat,plastikowe,2020.0,do wykończenia,400 zł,pełna własność,,,miejskie,
899000.0,75.33,2,wtórny,kamienica,1,7.0,cegła,,1920.0,,,pełna własność,52.227779999999996,20.99535,miejskie,15.0
640000.0,56.0,3,wtórny,blok,3,3.0,cegła,,1962.0,,,spółdzielcze wł. z KW,52.25002,20.98457,miejskie,23.0
336000.0,56.0,3,pierwotny,apartamentowiec,2,2.0,silikat,plastikowe,2020.0,do wykończenia,400 zł,pełna własność,,,miejskie,
535000.0,46.7,2,wtórny,blok,10,10.0,inne,plastikowe,1976.0,do zamieszkania,460 zł,spółdzielcze wł. z KW,,,miejskie,
1380000.0,87.0,2,wtórny,,> 10,14.0,,,2013.0,,580 zł,,52.25804535,20.97542113,,36.0
550000.0,59.69,3,wtórny,blok,1,6.0,cegła,plastikowe,2008.0,do zamieszkania,690 zł,pełna własność,52.3165441,20.9461078,miejskie,54.0
603000.0,56.4,2,wtórny,blok,parter,3.0,cegła,drewniane,2000.0,do zamieszkania,870 zł,spółdzielcze wł. z KW,52.1306641,21.077814800000002,miejskie,47.0
670000.0,68.3,3,wtórny,blok,7,10.0,,,1998.0,,515 zł,spółdzielcze własnościowe,,,miejskie,
1600000.0,97.0,3,wtórny,apartamentowiec,3,5.0,,drewniane,2014.0,do zamieszkania,,pełna własność,52.18772897201336,21.021473756713867,miejskie,29.0
570000.0,49.0,2,wtórny,blok,4,7.0,,plastikowe,1961.0,do remontu,487 zł,pełna własność,,,,
499000.0,54.4,2,wtórny,kamienica,2,3.0,cegła,plastikowe,1953.0,do remontu,550 zł,pełna własność,,,,
746000.0,83.0,4,wtórny,blok,3,12.0,wielka płyta,plastikowe,1981.0,do zamieszkania,,spółdzielcze własnościowe,,,miejskie,
468000.0,26.0,1,wtórny,blok,1,5.0,inne,plastikowe,,do zamieszkania,260 zł,pełna własność,52.233129999999996,21.019000000000002,miejskie,15.0
522000.0,52.0,2,wtórny,blok,parter,8.0,,drewniane,2009.0,do zamieszkania,500 zł,pełna własność,52.22297879999999,20.939500199999998,miejskie,34.0
2860000.0,76.2,2,wtórny,apartamentowiec,> 10,52.0,inne,aluminiowe,2018.0,,,pełna własność,52.231263996231,21.00247033782,miejskie,5.233333333333333
